;TickerID|52WeeksHigh|52WeeksLow|sysdate=20130201|Symbol|LongName|FirstDate|Remark|ForeignAvail|PrevNvol
BCH28C1905A| | | | | | | |0|0
ESSO08C2008A| | | | | | | |0|0
HMPR19C2010A| | | | | | | |0|0
AOT01C1904B| | | | | | | |0|0
AOT01C1904A| | | | | | | |0|0
SUPE19C2104A| | | | | | | |0|0
AWC13P2011A| | | | | | | |0|0
TLOAN45/03/15Y| | | | | | | |0|0
TVO13C2110A| | | | | | | |0|7638500
STEC19C1910A| | | | | | | |0|0
SRT227A| | | | | | | |0|0
JAS-R| | | | | | | |0|44338100
S5008P2106B| | | | | | | |0|111100
S5008P2106A| | | | | | | |0|0
EXAT51/25/5Y| | | | | | | |0|0
GFPT_Futures_Combo| | | | | | | |0|0
TGPRO| | | | | | | |2168304990|110569000
BOT61/1/3Y| | | | | | | |0|0
KBAN13P1905A| | | | | | | |0|0
JAS-F| | | | | | | |0|0
GUNK01C2108B| | | | | | | |0|9973400
GUNK01C2108A| | | | | | | |0|457700
ESSO| | | | | | | |1122199057|28372100
HSI41P2012V| | | | | | | |0|0
BCH28C1904A| | | | | | | |0|0
HSI41P2012T| | | | | | | |0|0
RATC13C2101A| | | | | | | |0|0
UKEM-W2-R| | | | | | | |0|0
CBG13C2110A| | | | | | | |0|70382100
CHEWA-W1-R| | | | | | | |0|0
TTA-W5| | | | | | | |0|0
PTT23C1901A| | | | | | | |0|0
S5016P1912B| | | | | | | |0|0
BANP08C2102A| | | | | | | |0|0
S5016P1912A| | | | | | | |0|0
HSI41P2012C| | | | | | | |0|0
BTS13C2012A| | | | | | | |0|0
HSI41P2012B| | | | | | | |0|0
HSI41P2012A| | | | | | | |0|0
AWC_Futures_Combo| | | | | | | |0|0
GHB50/08/15Y| | | | | | | |0|0
STEC24C2003A| | | | | | | |0|0
BOT61/1/2Y| | | | | | | |0|0
ECF-W2-R| | | | | | | |0|0
CPF19P2002A| | | | | | | |0|0
PTTE06C1903A| | | | | | | |0|0
STEC13C2107B| | | | | | | |0|0
STEC13C2107A| | | | | | | |0|0
SCC08C2004A| | | | | | | |0|0
BDMS07C1904A| | | | | | | |0|0
BEM13C2011A| | | | | | | |0|0
AOT01C1902B| | | | | | | |0|0
AOT01C1902A| | | | | | | |0|0
PTT06C2107A| | | | | | | |0|0
CRC_Futures_Combo| | | | | | | |0|0
PEA227A| | | | | | | |0|0
GLOB19C1901A| | | | | | | |0|0
PEA49/06/9Y| | | | | | | |0|0
HSI41P2011E| | | | | | | |0|0
HSI41P2011D| | | | | | | |0|0
KCE19C1901A| | | | | | | |0|0
IRPC06P1907A| | | | | | | |0|0
HSI41P2011C| | | | | | | |0|0
BTS13C2011A| | | | | | | |0|0
HSI41P2011B| | | | | | | |0|0
HSI41P2011A| | | | | | | |0|0
PLAN19C2102A| | | | | | | |0|0
ICHI-R| | | | | | | |0|26389900
HANA_Futures_Combo| | | | | | | |0|0
BCH28C1902A| | | | | | | |0|0
M-CHAI-R| | | | | | | |0|1300
BEM13C2010A| | | | | | | |0|0
ICHI-F| | | | | | | |0|0
PTT06C2106A| | | | | | | |0|0
SAWA11C2103A| | | | | | | |0|0
KKP24C1909A| | | | | | | |0|0
WHA27C2008A| | | | | | | |0|0
SRT224A| | | | | | | |0|0
S5008P2103C| | | | | | | |0|0
M-CHAI-F| | | | | | | |0|0
S5008P2103B| | | | | | | |0|0
S5008P2103A| | | | | | | |0|0
CPAL06C2109A| | | | | | | |0|18549000
KTB41P2004A| | | | | | | |0|0
HSI41P2010C| | | | | | | |0|0
HSI41P2010B| | | | | | | |0|0
HSI41P2010A| | | | | | | |0|0
MINT23C2001A| | | | | | | |0|0
SRT49/03/7Y| | | | | | | |0|0
WORK-W1-R| | | | | | | |0|0
SCC08C2002A| | | | | | | |0|0
BCP01C2109A| | | | | | | |0|0
S50_Futures_Combo| | | | | | | |0|0
ESSO08C2004A| | | | | | | |0|0
TEAMG-R| | | | | | | |0|3550200
GHB51/14/7Y| | | | | | | |0|0
SME62/2/5Y8M| | | | | | | |0|0
BCPG19P1911A| | | | | | | |0|0
PEA225A| | | | | | | |0|0
RATC01P2006A| | | | | | | |0|0
STGT| | | | | | | |1227618335|46587600
WAVE-W2| | | | | | | |0|7466300
TEAMG-F| | | | | | | |0|0
WAVE-W1| | | | | | | |0|0
SRT223A| | | | | | | |0|0
JMT| | | | | | | |485483831|11909200
HANA_FUT| | | | | | | |0|0
OSP42C2101T| | | | | | | |0|0
MINT-W9| | | | | | | |0|1229000
HREIT-F| | | | | | | |0|0
TMB11C1904A| | | | | | | |0|0
MINT-W8| | | | | | | |0|1626600
SRT53/05/12Y| | | | | | | |0|0
MINT-W7| | | | | | | |0|754300
MINT-W6| | | | | | | |0|69866400
CHOW-R| | | | | | | |0|188200
MATI| | | | | | | |51695239|13900
KTC13C1909A| | | | | | | |0|0
CHOW-F| | | | | | | |0|0
JMT19C2006A| | | | | | | |0|0
DTAC13C1908A| | | | | | | |0|0
KBAN41P2109A| | | | | | | |0|7483700
WHA01C2009A| | | | | | | |0|0
TLOAN60/03/5.37Y| | | | | | | |0|0
OR41C2108A| | | | | | | |0|251200
GHB51/02/9Y| | | | | | | |0|0
S5008P2101B| | | | | | | |0|0
S5008P2101A| | | | | | | |0|0
K-R| | | | | | | |0|40381000
CPAL06C2107A| | | | | | | |0|228200
BTS01C1908B| | | | | | | |0|0
BTS01C1908A| | | | | | | |0|0
TU06C1902A| | | | | | | |0|0
BLA-R| | | | | | | |0|3332400
STEC13C2103A| | | | | | | |0|0
K-F| | | | | | | |0|0
CRC16C2102A| | | | | | | |0|0
NHA51/06/5Y| | | | | | | |0|0
BCH41C2006A| | | | | | | |0|0
